sentence1	sentence2	simalarty
<Entity>Hamdi H. (27</Entity>) weinte die ganze Zeit.	Während der Staatsanwalt die Anklage verlas, starrte <Entity>Marvin N. (24</Entity>) auf den Tisch.	0
<Entity>Hamdi H. (27</Entity>) weinte die ganze Zeit.	"Der Fall vom 1. Februar 2016: <Entity>Hamdi H</Entity>. fährt einen Audi A 6 TDI (225 PS), Marvin N. einen
AMG-Mercedes (380 PS)."	1
"Im Februar 2020 zog er nach <Entity>Trier</Entity>,
lebte zuletzt in einer von der Stadt zugewiesenen Wohnung."	Seit 2015 in <Entity>Deutschland</Entity>, mehrfach vorbestraft	0
"An einer Kreuzung fährt Rentner <Entity>Michael W. (69</Entity>) mit seinem Jeep bei Grün los, Hamdi H.
rammt ihn mit seinem Audi."	"Der Fall vom 1. Februar 2016: Hamdi H. fährt einen Audi A 6 TDI (225 PS), <Entity>Marvin N</Entity>. einen
AMG-Mercedes (380 PS)."	0
"Im 7er BMW raste Halil G. (41) am 29. Oktober 2020 vormittags 5,4 Kilometer durch die
Bezirke <Entity>Kreuzberg</Entity> und Schöneberg. Verbotenes Kraftfahrzeugrennen, vorsätzliche Gefährdung
des Straßenverkehrs, Unfallflucht, Fahren ohne Führerschein – dafür wird er verurteilt."	"Rotlicht-Verstoß Blücherstraße, die Polizei hängt sich mit Dashcam dran. Mittenwalder-,
Fürbringer-, <Entity>Zossener Straße</Entity>."	0
Bluttat in <Entity>M‘Gladbach</Entity>!	Das Duo soll einen Mann (39) aus <Entity>Neuss</Entity> fast umgebracht haben.	0
Am Donnerstag begann der Prozess gegen Mario B. (31) am <Entity>Berliner Landgericht</Entity>.	"Weil der
31-Jährige Beschwerde einlegte, müsse nun das <Entity>Kammergericht</Entity> entscheiden."	0
<Entity>Stefan R</Entity>. wird Sexualmord aus niedrigen Beweggründen vorgeworfen	"Er soll am 6. September 2020 den Hochleitungsbau-Monteur <Entity>Stefan T. (44</Entity>) aus Lichtenberg
getötet haben."	0
"An einer Kreuzung fährt Rentner Michael W. (69) mit seinem Jeep bei Grün los, <Entity>Hamdi H</Entity>.
rammt ihn mit seinem Audi."	"Staatsanwalt <Entity>Christian</Entity> Fröhlich: „Wir haben geprüft, ob bedingter Tötungsvorsatz bei dem
Rennen vorlag. Wir haben Anhaltspunkte dafür.“"	0
"Edith Blum soll am 13. Januar im Bereich der <Entity>Treveris-</Entity>Passage in der Innenstadt von Trier mit
mehreren Leuten Alkohol getrunken haben."	"Im Februar 2020 zog er nach <Entity>Trier</Entity>,
lebte zuletzt in einer von der Stadt zugewiesenen Wohnung."	0
"Bei Ampelrot in den Gegenverkehr, Slalom in der
<Entity>Gneisenaustraße</Entity>, Kollision. Mehringdamm/Yorckstraße, wieder Kollisionen."	"Im 7er BMW raste Halil G. (41) am 29. Oktober 2020 vormittags 5,4 Kilometer durch die
Bezirke <Entity>Kreuzberg</Entity> und Schöneberg. Verbotenes Kraftfahrzeugrennen, vorsätzliche Gefährdung
des Straßenverkehrs, Unfallflucht, Fahren ohne Führerschein – dafür wird er verurteilt."	0
"Der gelernte Schweißer hatte sich bereits 2014
nach <Entity>Syrien</Entity> abgesetzt und war in der Hierarchie der Terrororganisation aufgestiegen."	Leonora M. mit ihrer Tochter in <Entity>Syrien</Entity>	1
"<Entity>Nasser Rammou</Entity> saß 15 Jahre, also ein Drittel seines
Lebens, im Gefängnis, meist wegen Drogendelikten."	"Clan-Boss <Entity>Nasser Rammou</Entity>
muss wieder in Haft"	1
"Bei Ampelrot in den Gegenverkehr, Slalom in der
<Entity>Gneisenaustraße</Entity>, Kollision. Mehringdamm/Yorckstraße, wieder Kollisionen."	"Rotlicht-Verstoß <Entity>Blücherstraße</Entity>, die Polizei hängt sich mit Dashcam dran. Mittenwalder-,
Fürbringer-, Zossener Straße."	0
Am Donnerstag begann der Prozess gegen <Entity>Mario B. (31</Entity>) am Berliner Landgericht.	Bisher schweigt <Entity>Mario B</Entity>. zu den Vorwürfen.	1
"Im 7er BMW raste Halil G. (41) am 29. Oktober 2020 vormittags 5,4 Kilometer durch die
Bezirke Kreuzberg und <Entity>Schöneberg</Entity>. Verbotenes Kraftfahrzeugrennen, vorsätzliche Gefährdung
des Straßenverkehrs, Unfallflucht, Fahren ohne Führerschein – dafür wird er verurteilt."	"Vorm S-Bahnhof Yorckstraße in den Gegenverkehr.
Baustellenschild umgenietet, Auto demoliert. <Entity>Goebenstraße</Entity>, Bülowstraße – dort hängt er die
Verfolger ab."	0
"Das
<Entity>Oberlandesgericht Naumburg</Entity> bestätigte dem Blatt den Eingang der Anklageschrift."	"Im Jahr 2015 hatte sich die 15-jährige Leonora M. unbemerkt von ihren Eltern radikalisiert, sie
reiste nach Syrien aus und schloss sich dem <Entity>Islamischen Staat</Entity> an."	0
"Anfang Juni stürmte die Polizei die <Entity>Al-Zein-Villa in Leverkusen</Entity>,
verhaftete vier Clan-Mitglieder."	Der Staat wurde im Grundbuch der <Entity>Villa</Entity> direkt nach der Sparkasse Leverkusen eingetragen.	1
"Der gelernte Schweißer hatte sich bereits 2014
nach <Entity>Syrien</Entity> abgesetzt und war in der Hierarchie der Terrororganisation aufgestiegen."	"Im Jahr 2015 hatte sich die 15-jährige Leonora M. unbemerkt von ihren Eltern radikalisiert, sie
reiste nach <Entity>Syrien</Entity> aus und schloss sich dem Islamischen Staat an."	1
<Entity>Badia Al-Zein</Entity>, seine beiden Söhne und seine Frau wurden verhaftet.	"Staatsanwalt <Entity>Julius Sterzel</Entity>
(ZeOS NRW): „Wir prüfen, ob wir Beschwerde einlegen.“"	0
"Der Afrikaner reiste im März 2015 als Flüchtling nach
<Entity>Deutschland</Entity> ein, lebte zunächst im Rhein-Hunsrück-Kreis."	"Ein Zeuge entdeckte am 14. Januar 2021 die Leiche der Obdachlosen Edith Blum
(63) zwischen Baucontainern auf dem Platz vor einem Obdachlosenheim in der
<Entity>Luxemburger Straße in Trier (Rheinland-Pfalz</Entity>)."	0
"Die Leiche des Opfers soll der Deutsche anschließend noch in seiner Wohnung zerteilt und
die Leichenteile an verschiedenen Orten <Entity>in Berlin</Entity> abgelegt haben."	"Er soll am 6. September 2020 den Hochleitungsbau-Monteur Stefan T. (44) aus <Entity>Lichtenberg</Entity>
getötet haben."	0
Der Dauer-Raser aus <Entity>Neukölln</Entity> hat alles zugegeben.	"Vorm S-Bahnhof Yorckstraße in den Gegenverkehr.
Baustellenschild umgenietet, Auto demoliert. Goebenstraße, <Entity>Bülowstraße</Entity> – dort hängt er die
Verfolger ab."	0
<Entity>Stefan R</Entity>. wird Sexualmord aus niedrigen Beweggründen vorgeworfen	"Nach Informationen aus Justizkreisen wirft die Berliner
Staatsanwaltschaft Lehrer <Entity>Stefan R. (41</Entity>) aus Pankow einen Sexualmord aus niedrigen
Beweggründen vor."	1
"Clan-Boss <Entity>Nasser Rammou</Entity>
muss wieder in Haft"	„Das ist als rassistische Tat zu werten“, sagt Amtsrichter <Entity>Carsten Schwanitz</Entity>.	0
Bluttat in <Entity>M‘Gladbach</Entity>!	"Die Mordkommission nahm den Gesuchten am Mittwochabend in einer Wohnung <Entity>in
Mönchengladbach</Entity> fest."	0.3
"<Entity>Mario B</Entity>. soll ihn während eines
Trinkgelages mit der Faust zu Boden gebracht und ihm dann bis zu acht Mal mit „stampfenden
Ausholbewegungen“ und schweren Stahlkappen-Schuhen auf den Kopf getreten haben."	Neben dem aktuellen Prozess könnte ein älterer gegen <Entity>Mario B</Entity>. wieder aufgenommen werden.	1
"An einer Kreuzung fährt Rentner <Entity>Michael W. (69</Entity>) mit seinem Jeep bei Grün los, Hamdi H.
rammt ihn mit seinem Audi."	"Auch der Verteidiger von <Entity>Hamdi H</Entity>. sagt: „Das Rennen war ihm nicht ansatzweise wichtig
genug, um den Tod eines Menschen billigend in Kauf zu nehmen.“"	0
Am 13. Februar klingelten sie an der Haustür der 72-Jährigen an der <Entity>Osterlinger Straße in Walle</Entity>, stießen sie zu Boden.	Auf der Anklagebank: Aberrahmane M. (24) aus <Entity>Tunesien</Entity> und Mestafa B. (17) aus Algerien.	0
"Die
Angriffe seien „Vergeltung und Selbstjustiz“ gewesen für einen kurz zuvor erfolgten Streit an
seinem Kiosk <Entity>in</Entity> der Wildenbruchstraße (Neukölln)."	"Er ist so schwerkriminell, dass er seit der letzten Haftentlassung im Februar 2018 eine
elektronische Fußfessel tragen muss (passiert selten in <Entity>Deutschland</Entity>)."	0
Am 13. Februar klingelten sie an der Haustür der 72-Jährigen an der <Entity>Osterlinger Straße in Walle</Entity>, stießen sie zu Boden.	Auf der Anklagebank: Aberrahmane M. (24) aus Tunesien und Mestafa B. (17) aus <Entity>Algerien</Entity>.	0
Der 7. November 2020, <Entity>Bahnhof Gesundbrunnen (Wedding</Entity>).	"Die
Angriffe seien „Vergeltung und Selbstjustiz“ gewesen für einen kurz zuvor erfolgten Streit an
seinem Kiosk <Entity>in</Entity> der Wildenbruchstraße (Neukölln)."	0
"Der <Entity>Remmo</Entity>-Clan ist in spektakuläre Millionen-Verbrechen verstrickt (Goldmünze
Bodemuseum, Grünes Gewölbe Dresden)."	„Das ist als rassistische Tat zu werten“, sagt Amtsrichter <Entity>Carsten Schwanitz</Entity>.	0
"Rotlicht-Verstoß Blücherstraße, die Polizei hängt sich mit Dashcam dran. Mittenwalder-,
Fürbringer-, <Entity>Zossener Straße</Entity>."	"Vorm <Entity>S-Bahnhof</Entity> Yorckstraße in den Gegenverkehr.
Baustellenschild umgenietet, Auto demoliert. Goebenstraße, Bülowstraße – dort hängt er die
Verfolger ab."	0
"Clan-Boss <Entity>Nasser Rammou (44</Entity>, trotz anderer Schreibweise gehört er zum
berüchtigten Remmo-Clan) kippte letztens vor Gericht um und kam ins Krankenhaus."	Er könne das Urteil anfechten, belehrte ihn Richter <Entity>Schwanitz</Entity>.	0
"Der Fall vom 1. Februar 2016: <Entity>Hamdi H</Entity>. fährt einen Audi A 6 TDI (225 PS), Marvin N. einen
AMG-Mercedes (380 PS)."	"Staatsanwalt <Entity>Christian</Entity> Fröhlich: „Wir haben geprüft, ob bedingter Tötungsvorsatz bei dem
Rennen vorlag. Wir haben Anhaltspunkte dafür.“"	0
Clan-Boss <Entity>Nasser Rammou</Entity> schwieg im Prozess.	"Urteil nach brutalen Angriffen auf Tschetschenen in Berlin
Nasser <Entity>Rammou</Entity>"	1
"<Entity>B</Entity>. hatte sich blutüberströmt aus seiner Wohnung auf die Straße schleppen können und ein
paar Hauseingänge weiter bei Nachbarn geklingelt."	"Ein Bekannter des ungarischen Opfers berichtete BILD im Mai: „Die Beiden sollen sich über
ein Dating-Portal kennengelernt haben. <Entity>Balasz</Entity> trug gern Frauenkleider, ist ein
Transvestit.“"	1
"Der Messerstecher von <Entity>Würzburg</Entity> soll nach dpa-Informationen in einer
Psychiatrie untergebracht werden."	"Derzeit befindet sich Abdirahman J. (24) noch in Untersuchungshaft in einem <Entity>Gefängnis in
Würzburg</Entity>."	0
"<Entity>Nasser Rammou</Entity> saß 15 Jahre, also ein Drittel seines
Lebens, im Gefängnis, meist wegen Drogendelikten."	"Clan-Boss <Entity>Nasser Rammou (44</Entity>, trotz anderer Schreibweise gehört er zum
berüchtigten Remmo-Clan) kippte letztens vor Gericht um und kam ins Krankenhaus."	1
"Anfang Juni stürmte die Polizei die <Entity>Al-Zein-Villa in Leverkusen</Entity>,
verhaftete vier Clan-Mitglieder."	Bei der Razzia im Juni wurde diese <Entity>Villa in Leverkusen</Entity> durchsucht, es kam zu mehreren Festnahmen	1
"Am 8. November 2020 fanden Spaziergänger im <Entity>Buchholzer Graben/Ecke</Entity> Schönerlinder
Straße einen männlichen Oberschenkelknochen ohne Gewebe."	"Am 8. November 2020 fanden Spaziergänger im Buchholzer Graben/Ecke Schönerlinder
<Entity>Straße</Entity> einen männlichen Oberschenkelknochen ohne Gewebe."	0
"<Entity>Mario B</Entity>. soll ihn während eines
Trinkgelages mit der Faust zu Boden gebracht und ihm dann bis zu acht Mal mit „stampfenden
Ausholbewegungen“ und schweren Stahlkappen-Schuhen auf den Kopf getreten haben."	Am Donnerstag begann der Prozess gegen <Entity>Mario B. (31</Entity>) am Berliner Landgericht.	1
Dann habe er selbst mit dem Hammer zugeschlagen, sagte <Entity>Werner M</Entity>.	"Im Jahr 2017 hatte der 53-jährige Werner M. in Berlin-Pankow seinen
Nachbar <Entity>Christian N. (68</Entity>) mit einem Hammer erschlagen und die Leiche teilweise zerteilt."	0
Das berichtet die in <Entity>Halle</Entity> erscheinende Mitteldeutsche Zeitung (Mittwochsausgabe).	"In <Entity>Syrien</Entity> soll sie ein ranghohes Mitglied des ISIS-Geheimdienstes geheiratet haben: Martin
Lemke (30) aus Zeitz (Burgenlandkreis)."	0
"An einer Kreuzung fährt Rentner <Entity>Michael W. (69</Entity>) mit seinem Jeep bei Grün los, Hamdi H.
rammt ihn mit seinem Audi."	"Denn: Erst wurde wegen fahrlässiger Tötung gegen <Entity>Hamdi H</Entity>. ermittelt, dann gegen beide
Fahrer wegen Totschlags."	0
"Im 7er BMW raste Halil G. (41) am 29. Oktober 2020 vormittags 5,4 Kilometer durch die
Bezirke <Entity>Kreuzberg</Entity> und Schöneberg. Verbotenes Kraftfahrzeugrennen, vorsätzliche Gefährdung
des Straßenverkehrs, Unfallflucht, Fahren ohne Führerschein – dafür wird er verurteilt."	"Vorm <Entity>S-Bahnhof</Entity> Yorckstraße in den Gegenverkehr.
Baustellenschild umgenietet, Auto demoliert. Goebenstraße, Bülowstraße – dort hängt er die
Verfolger ab."	0
Der Dauer-Raser aus <Entity>Neukölln</Entity> hat alles zugegeben.	"Rotlicht-Verstoß Blücherstraße, die Polizei hängt sich mit Dashcam dran. Mittenwalder-,
Fürbringer<Entity>-</Entity>, Zossener Straße."	0
Das berichtet die in <Entity>Halle</Entity> erscheinende Mitteldeutsche Zeitung (Mittwochsausgabe).	Der Generalbundesanwalt hat die ISIS-Rückkehrerin Leonora M. (21) aus <Entity>Sachsen</Entity>-	0
"Bei Ampelrot in den Gegenverkehr, Slalom in der
<Entity>Gneisenaustraße</Entity>, Kollision. Mehringdamm/Yorckstraße, wieder Kollisionen."	"Rotlicht-Verstoß Blücherstraße, die Polizei hängt sich mit Dashcam dran. <Entity>Mittenwalder</Entity>-,
Fürbringer-, Zossener Straße."	0
"Rotlicht-Verstoß Blücherstraße, die Polizei hängt sich mit Dashcam dran. Mittenwalder-,
Fürbringer<Entity>-</Entity>, Zossener Straße."	"Vorm <Entity>S-Bahnhof</Entity> Yorckstraße in den Gegenverkehr.
Baustellenschild umgenietet, Auto demoliert. Goebenstraße, Bülowstraße – dort hängt er die
Verfolger ab."	0
"Generalbundesanwalt klagt
ISIS-Braut <Entity>Leonora M</Entity>. an"	"In Syrien soll sie ein ranghohes Mitglied des ISIS-Geheimdienstes geheiratet haben: <Entity>Martin
Lemke (30</Entity>) aus Zeitz (Burgenlandkreis)."	0
"In Syrien soll sie ein ranghohes Mitglied des ISIS-Geheimdienstes geheiratet haben: <Entity>Martin
Lemke (30</Entity>) aus Zeitz (Burgenlandkreis)."	"Laut eines Haftbefehls gegen <Entity>M</Entity>. aus dem Jahr 2020 soll ihr Ehemann 2015 eine Frau als
Sklavin gekauft haben, um diese zusammen mit ihren zwei Kindern „gewinnbringend“
weiterzuverkaufen."	0
Das Duo soll einen Mann (39) aus <Entity>Neuss</Entity> fast umgebracht haben.	"Die Mordkommission nahm den Gesuchten am Mittwochabend in einer Wohnung <Entity>in
Mönchengladbach</Entity> fest."	0
<Entity>Mohamed M. (33</Entity>, li.) soll der Komplize vom Überfall auf die ältere Seniorin (93) gewesen sein.	Der damalige Komplize, <Entity>Mohamed M. (33</Entity>), behauptete in seinem Prozess, er sei bereits nach der Fesselung geflüchtet, habe mit der Sex-Tat nichts zu tun.	1
"Jetzt kam der jüngere Sohn <Entity>Mohamed (24</Entity>) aus der U-Haft
frei!"	"„Mein Mandant ist aus der Haft entlassen. Es besteht kein dringender Tatverdacht“, so sein
Verteidiger <Entity>Goran Bronisch</Entity> zu BILD."	0
"Am 8. November 2020 fanden Spaziergänger im <Entity>Buchholzer Graben/Ecke</Entity> Schönerlinder
Straße einen männlichen Oberschenkelknochen ohne Gewebe."	"Der Torso des Monteurs wurde am 23. November 2020 in einer <Entity>Pankower Grünanlage</Entity>
gefunden."	0
"Der gelernte Schweißer hatte sich bereits 2014
nach <Entity>Syrien</Entity> abgesetzt und war in der Hierarchie der Terrororganisation aufgestiegen."	"In <Entity>Syrien</Entity> soll sie ein ranghohes Mitglied des ISIS-Geheimdienstes geheiratet haben: Martin
Lemke (30) aus Zeitz (Burgenlandkreis)."	1
"Das
<Entity>Oberlandesgericht Naumburg</Entity> bestätigte dem Blatt den Eingang der Anklageschrift."	"In Syrien soll sie ein ranghohes Mitglied des <Entity>ISIS</Entity>-Geheimdienstes geheiratet haben: Martin
Lemke (30) aus Zeitz (Burgenlandkreis)."	0
<Entity>Hamdi H. (27</Entity>) weinte die ganze Zeit.	"An einer Kreuzung fährt Rentner Michael W. (69) mit seinem Jeep bei Grün los, <Entity>Hamdi H</Entity>.
rammt ihn mit seinem Audi."	1
<Entity>Marvin</Entity> habe geschwiegen: „Er gab nur Gas.“	"Mercedes-Beifahrerin <Entity>Olesya K. (22</Entity>) vor Gericht: „Ich war schockiert. Erstens über die
Geschwindigkeit, zweitens über die roten Ampeln.“"	0
Das berichtet die in <Entity>Halle</Entity> erscheinende Mitteldeutsche Zeitung (Mittwochsausgabe).	"Die Bundesanwaltschaft wirft der jungen Frau aus <Entity>Breitenbach bei Sangerhausen</Entity> vor,
Mitglied einer ausländischen Terrororganisation gewesen zu sein."	0
<Entity>Rammou</Entity> muss drei Jahre und neun Monate in Haft, mal wieder …	"Der <Entity>Remmo</Entity>-Clan ist in spektakuläre Millionen-Verbrechen verstrickt (Goldmünze
Bodemuseum, Grünes Gewölbe Dresden)."	0
"Rotlicht-Verstoß <Entity>Blücherstraße</Entity>, die Polizei hängt sich mit Dashcam dran. Mittenwalder-,
Fürbringer-, Zossener Straße."	"Vorm S-Bahnhof Yorckstraße in den Gegenverkehr.
Baustellenschild umgenietet, Auto demoliert. <Entity>Goebenstraße</Entity>, Bülowstraße – dort hängt er die
Verfolger ab."	0
"Auch der Verteidiger von <Entity>Hamdi H</Entity>. sagt: „Das Rennen war ihm nicht ansatzweise wichtig
genug, um den Tod eines Menschen billigend in Kauf zu nehmen.“"	"Der Fall vom 1. Februar 2016: Hamdi H. fährt einen Audi A 6 TDI (225 PS), <Entity>Marvin N</Entity>. einen
AMG-Mercedes (380 PS)."	0
"Am 13. Oktober 2017
wurde die Ordnungswidrigkeit Autorennen in <Entity>Deutschland</Entity> zur Straftat."	"Bei Ampelrot in den Gegenverkehr, Slalom in der
<Entity>Gneisenaustraße</Entity>, Kollision. Mehringdamm/Yorckstraße, wieder Kollisionen."	0
"An einer Kreuzung fährt Rentner Michael W. (69) mit seinem Jeep bei Grün los, <Entity>Hamdi H</Entity>.
rammt ihn mit seinem Audi."	"Mercedes-Beifahrerin <Entity>Olesya K. (22</Entity>) vor Gericht: „Ich war schockiert. Erstens über die
Geschwindigkeit, zweitens über die roten Ampeln.“"	0
Der Generalbundesanwalt hat die ISIS-Rückkehrerin Leonora M. (21) aus <Entity>Sachsen</Entity>-	"Der gelernte Schweißer hatte sich bereits 2014
nach <Entity>Syrien</Entity> abgesetzt und war in der Hierarchie der Terrororganisation aufgestiegen."	0
"Am 13. Oktober 2017
wurde die Ordnungswidrigkeit Autorennen in <Entity>Deutschland</Entity> zur Straftat."	"Rotlicht-Verstoß Blücherstraße, die Polizei hängt sich mit Dashcam dran. <Entity>Mittenwalder</Entity>-,
Fürbringer-, Zossener Straße."	0
"Der Haupt-Tatverdächtige Badia Al-Zein und sein älterer Sohn <Entity>Sehmus (28</Entity>) sitzen weiter
in U-Haft."	"„Mein Mandant ist aus der Haft entlassen. Es besteht kein dringender Tatverdacht“, so sein
Verteidiger <Entity>Goran Bronisch</Entity> zu BILD."	0
<Entity>Marvin</Entity> habe geschwiegen: „Er gab nur Gas.“	"Der Anwalt von <Entity>Marvin N</Entity>. sagt, aus seiner Sicht handle es sich aber rechtlich nur um eine
„übermäßige Straßennutzung“, die als Ordnungswidrigkeit geahndet werde (400 Euro und ein
Monat Fahrverbot)."	1
"Am 20. Dezember 2015 soll er <Entity>Jean W. (52</Entity>) in einer Wohnung in der Dolgenseestraße
(Berlin-Lichtenberg) attackiert haben."	"Der Verdacht fiel schnell auf <Entity>Mario B</Entity>., sieben Monate später begann der
Totschlags-Prozess gegen ihn."	0
Der Generalbundesanwalt hat die ISIS-Rückkehrerin <Entity>Leonora M. (21</Entity>) aus Sachsen-	"Im Jahr 2015 hatte sich die 15-jährige <Entity>Leonora M</Entity>. unbemerkt von ihren Eltern radikalisiert, sie
reiste nach Syrien aus und schloss sich dem Islamischen Staat an."	1
<Entity>Aberrahmane M. (24</Entity>) steht wegen Überfalls und körperlicher Misshandlung einer Seniorin (72) vor Gericht	Auf der Anklagebank: Aberrahmane M. (24) aus Tunesien und <Entity>Mestafa B. (17</Entity>) aus Algerien.	0
"Der Anwalt von <Entity>Marvin N</Entity>. sagt, aus seiner Sicht handle es sich aber rechtlich nur um eine
„übermäßige Straßennutzung“, die als Ordnungswidrigkeit geahndet werde (400 Euro und ein
Monat Fahrverbot)."	"Mercedes-Beifahrerin <Entity>Olesya K. (22</Entity>) vor Gericht: „Ich war schockiert. Erstens über die
Geschwindigkeit, zweitens über die roten Ampeln.“"	0
"Am 8. November 2020 fanden Spaziergänger im Buchholzer Graben/Ecke Schönerlinder
<Entity>Straße</Entity> einen männlichen Oberschenkelknochen ohne Gewebe."	"Der Torso des Monteurs wurde am 23. November 2020 in einer <Entity>Pankower Grünanlage</Entity>
gefunden."	0
Auf der Anklagebank: Aberrahmane M. (24) aus Tunesien und <Entity>Mestafa B. (17</Entity>) aus Algerien.	Der damalige Komplize, <Entity>Mohamed M. (33</Entity>), behauptete in seinem Prozess, er sei bereits nach der Fesselung geflüchtet, habe mit der Sex-Tat nichts zu tun.	0
"Bei Ampelrot in den Gegenverkehr, Slalom in der
Gneisenaustraße, Kollision. <Entity>Mehringdamm</Entity>/Yorckstraße, wieder Kollisionen."	Der Dauer-Raser aus <Entity>Neukölln</Entity> hat alles zugegeben.	0
"Rotlicht-Verstoß <Entity>Blücherstraße</Entity>, die Polizei hängt sich mit Dashcam dran. Mittenwalder-,
Fürbringer-, Zossener Straße."	"Rotlicht-Verstoß Blücherstraße, die Polizei hängt sich mit Dashcam dran. Mittenwalder-,
Fürbringer-, <Entity>Zossener Straße</Entity>."	0
"Der gelernte Schweißer hatte sich bereits 2014
nach <Entity>Syrien</Entity> abgesetzt und war in der Hierarchie der Terrororganisation aufgestiegen."	"In Syrien soll sie ein ranghohes Mitglied des ISIS-Geheimdienstes geheiratet haben: Martin
Lemke (30) aus <Entity>Zeitz (Burgenlandkreis</Entity>)."	0
Bei der Razzia im Juni wurde diese <Entity>Villa in Leverkusen</Entity> durchsucht, es kam zu mehreren Festnahmen	Der Staat wurde im Grundbuch der <Entity>Villa</Entity> direkt nach der Sparkasse Leverkusen eingetragen.	1
"Die Bundesanwaltschaft wirft der jungen Frau aus <Entity>Breitenbach bei Sangerhausen</Entity> vor,
Mitglied einer ausländischen Terrororganisation gewesen zu sein."	"In Syrien soll sie ein ranghohes Mitglied des ISIS-Geheimdienstes geheiratet haben: Martin
Lemke (30) aus <Entity>Zeitz (Burgenlandkreis</Entity>)."	0
<Entity>Leonora M</Entity>. mit ihrer Tochter in Syrien	"Laut eines Haftbefehls gegen <Entity>M</Entity>. aus dem Jahr 2020 soll ihr Ehemann 2015 eine Frau als
Sklavin gekauft haben, um diese zusammen mit ihren zwei Kindern „gewinnbringend“
weiterzuverkaufen."	1
Auf der Anklagebank: <Entity>Aberrahmane M. (24</Entity>) aus Tunesien und Mestafa B. (17) aus Algerien.	Dort entkleidete <Entity>Mestafa B</Entity>. den Unterleib der gefesselten Seniorin und versuchte, sie vergewaltigen.	0
"Clan-Boss <Entity>Nasser Rammou</Entity>
muss wieder in Haft"	"Clan-Boss Nasser Rammou (44, trotz anderer Schreibweise gehört er zum
berüchtigten <Entity>Remmo</Entity>-Clan) kippte letztens vor Gericht um und kam ins Krankenhaus."	0
"Im 7er BMW raste Halil G. (41) am 29. Oktober 2020 vormittags 5,4 Kilometer durch die
Bezirke Kreuzberg und <Entity>Schöneberg</Entity>. Verbotenes Kraftfahrzeugrennen, vorsätzliche Gefährdung
des Straßenverkehrs, Unfallflucht, Fahren ohne Führerschein – dafür wird er verurteilt."	"Vorm <Entity>S-Bahnhof</Entity> Yorckstraße in den Gegenverkehr.
Baustellenschild umgenietet, Auto demoliert. Goebenstraße, Bülowstraße – dort hängt er die
Verfolger ab."	0
"Am 13. Oktober 2017
wurde die Ordnungswidrigkeit Autorennen in <Entity>Deutschland</Entity> zur Straftat."	"Rotlicht-Verstoß Blücherstraße, die Polizei hängt sich mit Dashcam dran. Mittenwalder-,
Fürbringer<Entity>-</Entity>, Zossener Straße."	0
